id,email,ip_address,currency,stock_name,price
140,pgozard3v@constantcontact.com,185.79.3.63,Real,Intra-Cellular Therapies Inc.,61.61
141,dberanek3w@rediff.com,210.165.41.145,Hryvnia,"Ramaco Resources",30.17
142,blearoyd3x@bing.com,26.210.18.192,Tenge,Matlin & Partners Acquisition Corporation,99.74
143,gportman3y@liveinternet.ru,112.161.126.169,Ringgit,"Preferred Apartment Communities",90.89
144,bgeharke3z@wikimedia.org,189.165.6.176,Zloty,MFS Charter Income Trust,19.47
145,thugueville40@statcounter.com,118.15.62.34,Euro,"Mobile Mini",1.27
146,nucceli41@taobao.com,186.99.153.236,Dollar,Southern Company (The),25.10
147,wdorant42@spotify.com,20.95.68.38,Yuan Renminbi,Zix Corporation,42.28
148,rfillimore43@youtube.com,163.145.38.57,Yuan Renminbi,"UCP",26.70
149,gnorbury44@businessweek.com,115.10.208.1,Euro,"KVH Industries",45.51
150,frippon45@tiny.cc,138.3.123.93,Rupiah,Scorpio Tankers Inc.,20.34
151,lfeld46@pen.io,34.115.37.44,Somoni,AGNC Investment Corp.,13.19
152,lmcmeekan47@fastcompany.com,62.231.61.245,Rupiah,Genetic Technologies Ltd,52.51
153,jdorgan48@creativecommons.org,81.42.252.203,Shilling,VanEck Vectors Biotech ETF,42.33
154,emoult49@feedburner.com,240.113.193.50,Yuan Renminbi,Atlas Air Worldwide Holdings,44.23
155,llamasna4a@msu.edu,12.43.235.93,Rupiah,PowerShares KBW Property & Casualty Insurance Portfolio,43.60
156,avickar4b@usa.gov,121.189.186.40,Euro,Vornado Realty Trust,43.58
157,bwann4c@washington.edu,113.66.44.171,Zloty,TELUS Corporation,41.93
158,ckos4d@toplist.cz,13.188.233.42,Koruna,"Manhattan Bridge Capital Inc",14.78
159,nbernardino4e@weather.com,43.189.185.99,Yuan Renminbi,"21Vianet Group",53.51
160,bcasswell4f@utexas.edu,163.72.139.24,Lev,Coca-Cola Bottling Co. Consolidated,25.85
161,ctreneer4g@amazon.com,23.209.3.131,Koruna,"Extreme Networks",48.43
162,btunnadine4h@posterous.com,0.182.218.93,Marka,IRSA Inversiones Y Representaciones S.A.,75.91
163,stebb4i@ebay.com,101.22.132.248,Dollar,Medley Capital Corporation,75.25
164,vmangon4j@reference.com,34.13.166.106,Zloty,"ONEOK Partners L.P..",30.46
165,adowle4k@soundcloud.com,31.58.136.45,Euro,Aegon NV,23.62
166,rmckeney4l@phpbb.com,212.214.99.54,Yuan Renminbi,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,61.08
167,dcunde4m@e-recht24.de,19.7.228.133,Euro,"ASB Bancorp",14.18
168,sbezley4n@bing.com,130.197.185.85,Yen,"Nuance Communications",8.00
169,agooly4o@oracle.com,20.192.178.185,Yen,"Williams Companies (The)",53.28
170,gguly4p@google.co.uk,176.158.156.131,Shilling,"Soligenix",30.14
171,dmccolley4q@amazon.com,15.109.80.165,Peso,Turkcell Iletisim Hizmetleri AS,24.42
172,dhuguet4r@wp.com,194.136.129.61,Lev,"Pathfinder Bancorp",22.84
173,kboniface4s@webnode.com,86.223.175.205,Yuan Renminbi,Covanta Holding Corporation,24.74
174,pbinnes4t@umn.edu,80.76.156.26,Peso,Nuveen High Income November 2021 Target Term Fund,66.45
175,ecorlett4u@chicagotribune.com,43.57.71.58,Zloty,CVS Health Corporation,91.56
176,sbillborough4v@techcrunch.com,225.47.191.58,Rupiah,Royal Bank Of Canada,21.80
177,slownsbrough4w@sogou.com,4.230.115.128,Yuan Renminbi,"Alphatec Holdings",46.22
178,smilroy4x@wsj.com,183.42.208.58,Peso,Royal Bank Of Canada,61.27
179,cbeel4y@zimbio.com,106.52.78.6,Zloty,Retail Opportunity Investments Corp.,95.66
180,bjefferd4z@economist.com,137.135.162.45,Zloty,"Mellanox Technologies",30.07
181,gblaza50@examiner.com,13.242.169.76,Yuan Renminbi,VTTI Energy Partners LP,24.15
182,rscaice51@slashdot.org,215.158.104.146,Rupiah,"Power Integrations",88.18
183,rdovydenas52@paypal.com,195.226.203.87,Afghani,"Texas Capital Bancshares",0.83
184,rmaith53@fema.gov,140.9.22.122,Tenge,Vantage Energy Acquisition Corp.,81.19
185,ffreeth54@blog.com,216.251.129.150,Hryvnia,"Intersect ENT",22.71
186,dkhristoforov55@homestead.com,7.104.105.82,Yuan Renminbi,"Transcat",33.05
187,azemler56@feedburner.com,57.229.115.69,Pound,SpartanNash Company,23.59
188,shansberry57@cbsnews.com,191.148.137.40,Rupiah,Northern Trust Corporation,78.70
189,dchesworth58@booking.com,94.206.249.71,Euro,"Community First Bancshares",60.54
190,rhendrick59@gnu.org,19.6.91.200,Peso,Royal Dutch Shell PLC,38.57
191,egraffin5a@twitpic.com,113.158.172.251,Franc,"Axsome Therapeutics",2.00
192,sshulem5b@github.io,23.48.85.76,Euro,GP Investments Acquisition Corp.,5.63
193,zmales5c@opensource.org,96.231.211.148,Franc,Medigus Ltd.,81.69
194,ofollows5d@t.co,92.23.206.204,Euro,"Blucora",1.38
195,liacovolo5e@squarespace.com,101.199.228.145,Rupiah,Invesco California Value Municipal Income Trust,0.35
196,jpurchall5f@mac.com,101.104.28.71,Yuan Renminbi,Summit State Bank,4.97
197,jyellep5g@blogspot.com,142.30.67.106,Sol,Apollo Investment Corporation,30.38
198,mkoop5h@prlog.org,54.28.198.96,Peso,Crescent Point Energy Corporation,60.03
199,gknowles5i@imgur.com,31.154.171.193,Ruble,Public Storage,48.23
200,jvandecastele5j@netlog.com,231.225.15.142,Peso,"PC Connection",57.57
201,nryton5k@unblog.fr,29.206.170.187,Balboa,Citizens & Northern Corp,80.27
202,smiddle5l@angelfire.com,190.234.82.218,Euro,Lancaster Colony Corporation,38.32
203,aghirardi5m@bbc.co.uk,13.16.36.41,Euro,GasLog LP.,90.48
204,lnardrup5n@answers.com,12.236.141.46,Peso,"Red Rock Resorts",10.58
205,skisting5o@thetimes.co.uk,246.227.57.47,Real,"Second Sight Medical Products",50.58
206,cesmead5p@163.com,154.45.226.63,Real,Enerplus Corporation,98.35
207,textil5q@usnews.com,107.33.184.224,Dollar,"DineEquity Inc",53.03
208,mcropton5r@walmart.com,94.127.251.115,Yuan Renminbi,Origo Acquisition Corporation,89.55
209,uabley5s@bloglovin.com,215.193.247.206,Tugrik,"Aeglea BioTherapeutics",36.71
210,arodders5t@tripadvisor.com,26.246.40.251,Peso,Geo Group Inc (The),71.34
211,rscoggan5u@ehow.com,0.252.234.243,Guarani,Enterprise Financial Services Corporation,79.17
212,dgalvan5v@odnoklassniki.ru,193.77.23.78,Dollar,Frank's International N.V.,78.19
213,gbenthall5w@wikispaces.com,27.223.33.241,Franc,JinkoSolar Holding Company Limited,4.62
214,gbicksteth5x@kickstarter.com,215.235.151.207,Baht,PTC Inc.,76.43
215,agrahlmans5y@google.ca,185.232.189.81,Marka,Dana Incorporated,3.14
216,smidlane5z@quantcast.com,3.36.123.223,Peso,EMC Insurance Group Inc.,99.77
217,vdohrmann60@nsw.gov.au,14.58.110.19,Pound,"Baldwin & Lyons",43.71
218,lianiello61@devhub.com,12.234.250.81,Yuan Renminbi,Grupo Financiero Galicia S.A.,84.96
219,eramos62@domainmarket.com,111.95.229.51,Rupiah,IBERIABANK Corporation,17.15
220,cjosephi63@google.ru,2.154.115.223,Rupiah,WPCS International Incorporated,2.54
221,surey64@vk.com,4.188.83.63,Lek,"Jack Henry & Associates",80.77
222,emesant65@chron.com,51.38.69.40,Litas,Sensata Technologies Holding N.V.,20.20
223,gbullock66@aboutads.info,240.214.21.37,Yuan Renminbi,"Auburn National Bancorporation",28.59
224,dhowood67@slate.com,24.160.92.83,Hryvnia,"Lake Shore Bancorp",65.30
225,srosenfield68@psu.edu,88.14.149.9,Yuan Renminbi,Dr. Reddy's Laboratories Ltd,35.13
226,ctramel69@paginegialle.it,206.43.185.236,Rupiah,"Golub Capital BDC",9.69
227,kcarryer6a@booking.com,128.155.126.209,Peso,"Pulse Biosciences Inc",81.95
228,hpighills6b@cnet.com,96.232.226.81,Zloty,Retail Opportunity Investments Corp.,59.78
229,temptage6c@hc360.com,151.83.218.220,Ruble,First Trust Latin America AlphaDEX Fund,88.63
230,asiman6d@surveymonkey.com,176.43.148.83,Dram,BlackRock New York Investment Quality Municipal Trust Inc. (Th,49.17
231,caddenbrooke6e@gmpg.org,35.225.96.168,Rupiah,WisdomTree Interest Rate Hedged High Yield Bond Fund,62.45
232,hschiefersten6f@gnu.org,8.217.254.252,Real,BlackRock Long-Term Municipal Advantage Trust,78.45
233,vviant6g@census.gov,75.243.49.224,Rupiah,Pentair plc.,50.39
234,gapplegarth6h@wp.com,250.200.147.174,Sol,Great Elm Capital Corp.,35.18
235,sberni6i@360.cn,1.153.42.235,Euro,"Universal Forest Products",51.85
236,lparres6j@dailymail.co.uk,154.245.128.239,Rupiah,Dynegy Inc.,53.81
237,dsate6k@imageshack.us,198.15.228.252,Yuan Renminbi,"Evolent Health Inc",62.75
238,gbraganca6l@php.net,191.233.54.81,Ruble,"Ryman Hospitality Properties",42.27
239,rpitkeathley6m@reference.com,67.136.105.152,Shekel,DCP Midstream LP,11.55
240,ohuie6n@huffingtonpost.com,225.189.95.182,Peso,Pacific Special Acquisition Corp.,32.48
241,dcrawley6o@oaic.gov.au,154.189.129.247,Afghani,"SPI Energy Co.",38.89
242,awapple6p@webmd.com,144.70.23.83,Peso,Halcon Resources Corporation,57.84
243,gferrant6q@homestead.com,35.173.218.85,Zloty,OFS Capital Corporation,55.79
244,cclarke6r@godaddy.com,38.124.24.181,Euro,Vanguard Global ex-U.S. Real Estate ETF,84.18
245,wgummary6s@google.com,135.16.245.131,Ruble,"Bottomline Technologies",10.83
246,jcurson6t@msn.com,100.132.39.72,Rupiah,Insight Select Income Fund,38.68
247,nmcgilvray6u@woothemes.com,59.1.53.193,Rial,Kornit Digital Ltd.,30.54
248,akubicki6v@mediafire.com,191.216.194.34,Peso,"Owens & Minor",34.18
249,lgozzard6w@accuweather.com,202.91.234.4,Rupee,Global X SuperDividend Alternatives ETF,71.99
250,bstothert6x@utexas.edu,173.207.216.119,Yuan Renminbi,National Research Corporation,40.99
251,pkilliner6y@scientificamerican.com,201.140.155.207,Hryvnia,Mosaic Company (The),2.40
252,gbradmore6z@globo.com,95.230.198.129,Peso,First Trust Mid Cap Value AlphaDEX Fund,63.06
253,zludron70@comsenz.com,98.21.65.183,Yuan Renminbi,Murphy USA Inc.,46.83
254,dwinny71@networksolutions.com,149.164.107.198,Manat,"Mid-America Apartment Communities",13.81
255,frouchy72@edublogs.org,109.102.96.81,Hryvnia,Inphi Corporation,40.24
256,mshirlaw73@ibm.com,0.233.187.54,Rupiah,Seaspan Corporation,16.89
257,lhindmore74@google.co.uk,4.174.156.50,Yuan Renminbi,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,60.84
258,crenzo75@craigslist.org,85.49.10.60,Rial,Quantum Corporation,91.67
259,bmelson76@squarespace.com,197.104.148.159,Yuan Renminbi,"Seabridge Gold",89.92
260,usarchwell77@ifeng.com,53.167.227.110,Rupiah,Grupo Financiero Galicia S.A.,91.70
261,bswanne78@php.net,184.148.192.219,Euro,Suncor Energy  Inc.,83.72
262,lbennoe79@dropbox.com,123.115.241.31,Yuan Renminbi,"Hamilton Bancorp",34.14
263,rshotboult7a@wordpress.org,64.27.14.250,Franc,"TRACON Pharmaceuticals",78.15
264,cpo7b@thetimes.co.uk,39.138.64.241,Ruble,Peabody Energy Corporation,87.61
265,tnetting7c@unesco.org,3.14.85.236,Dong,Santander Consumer USA Holdings Inc.,32.25
266,reglaise7d@angelfire.com,192.185.235.198,Peso,"SandRidge Energy",88.38
267,jjerrim7e@telegraph.co.uk,246.167.126.167,Rupiah,MGC Diagnostics Corporation,89.04
268,maldis7f@ustream.tv,157.169.104.202,Euro,"Advanced Micro Devices",63.94
269,paffron7g@tumblr.com,161.128.37.243,Yuan Renminbi,TriplePoint Venture Growth BDC Corp.,21.84
270,egalbreth7h@virginia.edu,202.165.20.246,Peso,Apartment Investment and Management Company,99.34
271,rscaddon7i@sitemeter.com,42.113.90.188,Rupiah,"Ocean Bio-Chem",75.14
272,sdarragh7j@apple.com,35.16.65.230,Koruna,"Perma-Fix Environmental Services",32.99
273,aburrel7k@businessweek.com,80.187.203.43,Krona,"AnaptysBio",60.14
274,ntregensoe7l@dropbox.com,55.233.74.58,Colon,Global Indemnity Limited,51.83
275,cspendley7m@freewebs.com,83.243.100.184,Dollar,"Destination XL Group",6.09
276,ofrisdick7n@quantcast.com,63.104.125.115,Kina,Accenture plc,34.41
277,sfrensch7o@mapy.cz,180.150.52.141,Krona,UNIVERSAL INSURANCE HOLDINGS INC,21.71
278,jcolthard7p@csmonitor.com,63.106.79.109,Rupiah,Greif Bros. Corporation,24.39
279,ncouronne7q@ftc.gov,198.89.41.150,Taka,VictoryShares International High Div Volatility Wtd ETF,14.35
280,fpavlitschek7r@flickr.com,228.95.87.237,Baht,"SB Financial Group",64.78
281,mgrisbrook7s@china.com.cn,135.94.209.75,Franc,"Houlihan Lokey",53.11
282,gkeford7t@miibeian.gov.cn,187.218.6.185,Euro,"YRC Worldwide",65.01
283,tmaling7u@lulu.com,161.123.175.35,Rupiah,"Sucampo Pharmaceuticals",29.57
284,jaujean7v@pagesperso-orange.fr,27.177.216.102,Kuna,Guangshen Railway Company Limited,48.45
285,mcella7w@epa.gov,134.50.243.80,Baht,"Heartland Express",25.17
286,fkell7x@g.co,119.103.71.216,Peso,"Valhi",13.16
287,awinward7y@unesco.org,122.150.241.237,Rupiah,General Electric Capital Corporation,64.43
288,mhugin7z@macromedia.com,50.75.61.166,Ringgit,Invesco Pennsylvania Value Municipal Income Trust,72.94
289,tmixter80@house.gov,44.153.139.141,Euro,New Residential Investment Corp.,1.98
290,icoppen81@ft.com,26.123.44.21,Zloty,"Kulicke and Soffa Industries",25.57
291,bploughwright82@sakura.ne.jp,247.225.144.35,Kuna,TravelCenters of America LLC,9.48
292,ptrewhella83@dmoz.org,43.229.136.225,Pound,NCR Corporation,71.61
293,rdymott84@1688.com,132.121.150.107,Euro,Alcobra Ltd.,15.18
294,agoldfinch85@whitehouse.gov,218.107.10.242,Peso,Qualstar Corporation,47.37
295,pmordon86@ox.ac.uk,92.128.255.171,Real,"Polar Power",91.05
296,mbarstock87@nydailynews.com,172.92.224.199,Peso,Eaton Vance Corporation,36.25
297,kcosty88@usgs.gov,58.215.51.92,Peso,"Celldex Therapeutics",68.77
298,emcclinton89@ameblo.jp,98.181.170.248,Yuan Renminbi,"Century Casinos",21.79
299,dromaines8a@vk.com,55.121.80.141,Dollar,"Wheeler Real Estate Investment Trust",89.10
300,mcockaday8b@sphinn.com,158.37.100.80,Peso,Sumitomo Mitsui Financial Group Inc,54.04
301,jspencley8c@scribd.com,51.23.200.98,Rupiah,Green Plains Partners LP,37.20
302,hsimnor8d@privacy.gov.au,161.193.155.191,Franc,"Sanderson Farms",54.21
303,gthornton8e@answers.com,187.192.209.165,Rupiah,Deutsche Bank AG,21.09
304,ttine8f@flavors.me,112.79.41.168,Lek,Vanguard Global ex-U.S. Real Estate ETF,21.55
